Sample	Cell type	Experiment	File type	URL
S00D4741	AML	EGAX00001336939	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00004/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00D4741.ERX1139718.Dnase.bwa.GRCh38.20151104.bw
S00D5541	AML	EGAX00001336942	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00006/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00D5541.ERX1139721.Dnase.bwa.GRCh38.20151104.bw
S00D6341	AML	EGAX00001336937	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00001/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00D6341.ERX1139716.Dnase.bwa.GRCh38.20151104.bw
S00S8D41	AML	EGAX00001336944	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00042/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00S8D41.ERX1139723.Dnase.bwa.GRCh38.20151104.bw
S00S9B41	AML	EGAX00001336936	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00039/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00S9B41.ERX1139715.Dnase.bwa.GRCh38.20151104.bw
S00XUN41	AML	EGAX00001336948	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00024/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00XUN41.ERX1139727.Dnase.bwa.GRCh38.20151104.bw
S00XVL41	AML	EGAX00001336953	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00025/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00XVL41.ERX1139732.Dnase.bwa.GRCh38.20151104.bw
S00XWJ41	AML	EGAX00001336954	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00026/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00XWJ41.ERX1139733.Dnase.bwa.GRCh38.20151104.bw
S00XXH41	AML	EGAX00001336949	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00027/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00XXH41.ERX1139728.Dnase.bwa.GRCh38.20151104.bw
S00XYF41	AML	EGAX00001336955	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00029/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00XYF41.ERX1139734.Dnase.bwa.GRCh38.20151104.bw
S00Y0541	AML	EGAX00001336950	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00023/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00Y0541.ERX1139729.Dnase.bwa.GRCh38.20151104.bw
S00Y1341	AML	EGAX00001336951	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00019/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00Y1341.ERX1139730.Dnase.bwa.GRCh38.20151104.bw
S00Y4Y41	AML	EGAX00001336956	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00021/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00Y4Y41.ERX1139735.Dnase.bwa.GRCh38.20151104.bw
S00Y5W41	AML	EGAX00001336957	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00031/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00Y5W41.ERX1139736.Dnase.bwa.GRCh38.20151104.bw
S00Y6U41	AML	EGAX00001336958	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00028/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00Y6U41.ERX1139737.Dnase.bwa.GRCh38.20151104.bw
S013M343	AML	EGAX00001403062	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00014/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S013M343.ERX1488582.Dnase.bwa.GRCh38.20160614.bw
S013N143	AML	EGAX00001403063	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00015/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S013N143.ERX1488583.Dnase.bwa.GRCh38.20160614.bw
S013PY43	AML	EGAX00001403067	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00016/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S013PY43.ERX1488587.Dnase.bwa.GRCh38.20160614.bw
S013QW43	AML	EGAX00001403068	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00013/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S013QW43.ERX1488588.Dnase.bwa.GRCh38.20160614.bw
S013RU43	AML	EGAX00001403065	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00010/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S013RU43.ERX1488585.Dnase.bwa.GRCh38.20160614.bw
S013SS43	AML	EGAX00001403069	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00009/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S013SS43.ERX1488589.Dnase.bwa.GRCh38.20160614.bw
S018RA41	AML	EGAX00001336930	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00043/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S018RA41.ERX1139709.Dnase.bwa.GRCh38.20151104.bw
C005VG45	Macrophages	EGAX00001125987	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C005VG/macrophage/DNase-Hypersensitivity/NCMLS/C005VG45.ERX286205.Dnase.bwa.GRCh38.20150529.bw
S001S745	Macrophages	EGAX00001234402	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S001S7/macrophage/DNase-Hypersensitivity/NCMLS/S001S745.ERX616976.Dnase.bwa.GRCh38.20150529.bw
S0022I44	Macrophages	EGAX00001234403	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S0022I/macrophage/DNase-Hypersensitivity/NCMLS/S0022I44.ERX616977.Dnase.bwa.GRCh38.20150529.bw
C0010K46	Monocytes	EGAX00001084791	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C0010K/CD14-positive_CD16-negative_classical_monocyte/DNase-Hypersensitivity/NCMLS/C0010K46.ERX197156.Dnase.bwa.GRCh38.20150529.bw
C001UY46	Monocytes	EGAX00001084793	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001UY/CD14-positive_CD16-negative_classical_monocyte/DNase-Hypersensitivity/NCMLS/C001UY46.ERX197158.Dnase.bwa.GRCh38.20150601.bw
S005EJ41	AML	EGAX00001336931	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00018/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S005EJ41.ERX1139710.Dnase.GRCh38.hotspot.20151104.bed.gz
S005FH41	AML	EGAX00001125983	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00017/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S005FH41.ERX286201.Dnase.GRCh38.hotspot.20150709.bed.gz
S0074V41	AML	EGAX00001336933	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00040/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S0074V41.ERX1139712.Dnase.GRCh38.hotspot.20151104.bed.gz
S0075T41	AML	EGAX00001336934	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00041/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S0075T41.ERX1139713.Dnase.GRCh38.hotspot.20151104.bed.gz
S00CWT41	AML	EGAX00001336941	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00003/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00CWT41.ERX1139720.Dnase.GRCh38.hotspot.20151104.bed.gz
S00CXR41	AML	EGAX00001336946	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00012/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00CXR41.ERX1139725.Dnase.GRCh38.hotspot.20151104.bed.gz
S00CYP41	AML	EGAX00001336940	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00007/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00CYP41.ERX1139719.Dnase.GRCh38.hotspot.20151104.bed.gz
S00D0F41	AML	EGAX00001336945	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00011/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00D0F41.ERX1139724.Dnase.GRCh38.hotspot.20151104.bed.gz
S00D1D41	AML	EGAX00001336938	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00002/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00D1D41.ERX1139717.Dnase.GRCh38.hotspot.20151104.bed.gz
S00D3941	AML	EGAX00001336943	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00008/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00D3941.ERX1139722.Dnase.GRCh38.hotspot.20151104.bed.gz
S00D4741	AML	EGAX00001336939	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00004/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00D4741.ERX1139718.Dnase.GRCh38.hotspot.20151104.bed.gz
S00D5541	AML	EGAX00001336942	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00006/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00D5541.ERX1139721.Dnase.GRCh38.hotspot.20151104.bed.gz
S00D6341	AML	EGAX00001336937	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00001/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00D6341.ERX1139716.Dnase.GRCh38.hotspot.20151104.bed.gz
S00S8D41	AML	EGAX00001336944	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00042/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00S8D41.ERX1139723.Dnase.GRCh38.hotspot.20151104.bed.gz
S00S9B41	AML	EGAX00001336936	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00039/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00S9B41.ERX1139715.Dnase.GRCh38.hotspot.20151104.bed.gz
S00XUN41	AML	EGAX00001336948	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00024/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00XUN41.ERX1139727.Dnase.GRCh38.hotspot.20151104.bed.gz
S00XVL41	AML	EGAX00001336953	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00025/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00XVL41.ERX1139732.Dnase.GRCh38.hotspot.20151104.bed.gz
S00XWJ41	AML	EGAX00001336954	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00026/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00XWJ41.ERX1139733.Dnase.GRCh38.hotspot.20151104.bed.gz
S00XXH41	AML	EGAX00001336949	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00027/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00XXH41.ERX1139728.Dnase.GRCh38.hotspot.20151104.bed.gz
S00XYF41	AML	EGAX00001336955	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00029/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00XYF41.ERX1139734.Dnase.GRCh38.hotspot.20151104.bed.gz
S00Y0541	AML	EGAX00001336950	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00023/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00Y0541.ERX1139729.Dnase.GRCh38.hotspot.20151104.bed.gz
S00Y1341	AML	EGAX00001336951	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00019/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00Y1341.ERX1139730.Dnase.GRCh38.hotspot.20151104.bed.gz
S00Y4Y41	AML	EGAX00001336956	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00021/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00Y4Y41.ERX1139735.Dnase.GRCh38.hotspot.20151104.bed.gz
S00Y5W41	AML	EGAX00001336957	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00031/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00Y5W41.ERX1139736.Dnase.GRCh38.hotspot.20151104.bed.gz
S00Y6U41	AML	EGAX00001336958	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00028/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00Y6U41.ERX1139737.Dnase.GRCh38.hotspot.20151104.bed.gz
S013M343	AML	EGAX00001403062	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00014/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S013M343.ERX1488582.Dnase.GRCh38.hotspot.20160615.bed.gz
S013N143	AML	EGAX00001403063	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00015/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S013N143.ERX1488583.Dnase.GRCh38.hotspot.20160615.bed.gz
S013PY43	AML	EGAX00001403067	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00016/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S013PY43.ERX1488587.Dnase.GRCh38.hotspot.20160615.bed.gz
S013QW43	AML	EGAX00001403068	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00013/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S013QW43.ERX1488588.Dnase.GRCh38.hotspot.20160615.bed.gz
S013RU43	AML	EGAX00001403065	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00010/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S013RU43.ERX1488585.Dnase.GRCh38.hotspot.20160615.bed.gz
S013SS43	AML	EGAX00001403069	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00009/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S013SS43.ERX1488589.Dnase.GRCh38.hotspot.20160615.bed.gz
S018RA41	AML	EGAX00001336930	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00043/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S018RA41.ERX1139709.Dnase.GRCh38.hotspot.20151104.bed.gz
C005VG45	Macrophages	EGAX00001125987	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C005VG/macrophage/DNase-Hypersensitivity/NCMLS/C005VG45.ERX286205.Dnase.GRCh38.hotspot.20150709.bed.gz
S001S745	Macrophages	EGAX00001234402	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S001S7/macrophage/DNase-Hypersensitivity/NCMLS/S001S745.ERX616976.Dnase.GRCh38.hotspot.20150709.bed.gz
S0022I44	Macrophages	EGAX00001234403	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S0022I/macrophage/DNase-Hypersensitivity/NCMLS/S0022I44.ERX616977.Dnase.GRCh38.hotspot.20150709.bed.gz
C0010K46	Monocytes	EGAX00001084791	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C0010K/CD14-positive_CD16-negative_classical_monocyte/DNase-Hypersensitivity/NCMLS/C0010K46.ERX197156.Dnase.GRCh38.hotspot.20150709.bed.gz
C001UY46	Monocytes	EGAX00001084793	bed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001UY/CD14-positive_CD16-negative_classical_monocyte/DNase-Hypersensitivity/NCMLS/C001UY46.ERX197158.Dnase.GRCh38.hotspot.20150709.bed.gz
