	LTR12C	LTR13A	LTR2B	LTR2C	LTR5B	LTR5_Hs	aml.max
NFE2	-0.935656427	1.560286063	0.177024708	1.251486286	0.461205781	0.201118492	170.32
CBX3	0.430133575	1.105867955	0.558308399	2.473312416	0.542608431	0.410325085	162.49
HDGF	-0.105292945	1.723870665	0.072870584	1.118448896	1.077325268	0.691951252	156.66
MCM7	0.336579353	0.364586047	-0.11598667	0.484062899	0.897724089	-0.079395568	156.29
NR4A1	0.285804038	1.701019899	0.584131878	1.500707144	1.446704736	1.549965242	155.67
MYC	-0.568751762	2.025313037	-0.02623371	3.111196211	1.888803789	2.109906939	152.69
CHD1	-0.95491211	1.084064265	-0.569365646	0.689659879	0.115477217	-0.315501826	142.66
STAT5A	-1.263034406	1.736965594	0.584962501	3.459431619	3.321928095	3.491853096	136.05
DNMT1	-0.45424641	1.60459373	0.609803948	1.263154441	0.794004832	0.423554789	133.02
BACH1	-1.739564866	1.296994735	0.201192726	1.188154016	0.391129514	0.295098913	127.18
PTBP1	-0.486991844	0.741466596	-0.558804481	1.178629749	-0.032815588	-0.833328572	125.84
ZNF83	-1.112469132	1.475421585	0.013125807	1.057712299	0.370018196	0.039886926	123.32
TARDBP	-0.049012989	1.168030236	-0.042553284	1.210806827	0.520273825	-0.536605201	113.77
ETV6	-0.990644634	0.907541142	0.001253428	1.261780978	0.33400912	-0.660964047	112.39
TAF7	0.05413105	1.309082583	0.187369943	0.954816787	1.06292801	0.806082159	112.13
USF1	-2.14005396	4.863960227	-1.584962501	1.5	-0.29248125	1.321928095	111.34
HNRNPUL1	-1.679037996	0.35334159	-0.283217545	1.412346399	-0.045207658	-1.458747841	109.91
SPI1	-2.024690917	2.675837719	0.937234559	3.160964047	4.254887502	5.09305712	108.77
BHLHE40	-1.801032896	2.214796843	-0.809539934	2.196763463	0.17254709	-0.579310035	107.97
KDM5B	-0.309229706	0.968715088	-0.40032391	0.819577301	0.408144023	-0.639417196	107.87
NCOR1	-0.222016561	1.448361281	0.257545289	1.603076304	1.050797381	0.712275181	107.41
MCM3	0.906405895	-0.269495631	-0.266775885	-0.036311457	0.656943067	-0.084398695	105.23
ZC3H11A	-2.887525271	2.115477217	-1.321928095	2.584962501	-0.415037499	-0.321928095	101.25
MAX	-0.428669465	2.56029564	-0.202560859	2.881285397	1.20978554	1.618345806	100.97
IRF9	-0.257776955	1.774823023	0.325872769	0.774081712	1.021458246	1.210071297	100.07
ZNF644	-1.296723643	1.350686617	-0.057671631	0.683210256	0.358841951	0.273212974	99.89
HDAC2	-0.146582393	1.68889127	-0.049665881	1.585554563	0.909871359	0.803695572	99.35
CUX1	-1.940520482	1.656353361	-0.054491216	1.575077013	0.580833386	-0.01983474	93.49
TBL1XR1	-1.930062281	1.125509951	-0.931475106	1.284418522	0.291222719	-1.065099304	93.45
MTA2	-0.512897486	1.740072197	0.311652768	1.733256649	1.303750343	0.960783537	91.12
SMARCE1	-0.073308794	1.722709051	0.868758585	2.102707432	1.301126592	1.163565774	90.96
PTRF	-0.705090067	1.361238721	0.731770962	0.424521691	1.241555089	1.327688293	90.32
ILK	-0.93347094	1.10545619	0.657952528	1.549353112	1.093197659	0.97330435	87.03
TCF12	-0.15378086	1.358593082	0.420142839	1.371921302	1.221707738	0.996417567	86.8
MCM5	0.37828655	0.558804481	-0.245181173	0.234711401	0.765547599	-0.139840205	86.42
LEF1	-0.246977127	2.136661948	0.11707985	1.121626665	0.815427249	0.41436176	85.95
TRIM25	-0.566019816	1.349454341	0.371270863	0.87063161	0.835748312	0.445149095	84.3
KLF13	0.265097799	1.317326162	0.012606082	1.055948068	0.932762977	0.592757369	82.26
GTF2A2	0.413116407	1.300900933	0.303767952	0.78096841	0.758857636	0.934819824	82.18
NBN	-0.142333632	1.842748584	0.480259637	1.714170059	1.154471507	0.817899742	81.01
HDAC1	-0.56334323	1.392828442	0.16784707	1.256180145	0.800438656	0.372633474	80.89
MGA	0.070027343	1.988088286	0.567580474	1.410856942	1.167452807	0.825097523	73.59
ARID1B	-0.823494033	1.40782089	0.994725011	1.933570629	1.270143662	0.916199179	70.38
HMBOX1	-1.455604657	0.999863362	0.772653064	1.583951147	0.734565578	0.380781929	69.08
KDM1A	-0.585898514	1.062606529	0.313976704	1.330562275	0.977847971	0.82250559	68.54
KAT8	-0.984450684	0.765107558	0.358440974	0.827383898	0.358142943	0.137941104	68.01
MTA1	-0.436484728	1.838195406	0.213464964	1.512586497	1.192418154	0.764268274	67.92
TFDP1	-0.521999336	1.035657366	-0.294061545	1.329919496	0.365707905	-0.414747516	66.9
TSC22D4	-0.389215703	1.067384278	0.242713414	0.615059892	0.984064113	0.245407673	65.58
CEBPB	-1.272708175	1.305564551	2.242534356	1.965508559	0.226435377	0.65502618	65.27
MBD2	0.0140279	1.29414468	-0.205992519	1.664185063	0.60251067	-0.511587229	65.23
TAF15	0.328948523	-0.556393349	-1	-0.087462841	-0.893084796	-2.053111336	65.11
SMARCA5	-0.466263925	1.437627652	-0.17294787	1.329502393	0.809367622	0.47122269	64.15
THRAP3	-0.728992035	1.39901356	-0.468248529	1.083625434	0.656991495	0.261869533	63.79
SMARCA4	-0.117296136	1.701069141	0.555471184	2.21200868	1.370117306	1.169010805	61.64
ZMIZ1	-1.023846742	2.247927513	1	2.700439718	1.5360529	1.152003093	60.13
GATA2	-1.341540464	1.682732661	0.208286428	2.277685086	1.349851643	0.757104412	59.39
UBTF	-0.398882803	2.831482506	-0.049767837	1.937234559	1.25548096	-0.226256102	58.23
PTTG1	-0.914016153	1.131339906	0.306680654	1.391562649	1.266303685	1.430104623	58.02
USF2	-1.306445375	2.917499651	-0.646240625	0.658020512	0.126641662	-0.366905504	57.52
NR2C1	-0.751814366	1.828902449	0.901465363	1.550008652	1.095373882	0.98259759	56.67
ZZZ3	-1.404816277	1.171977201	-0.534770467	0.682311869	0.859249423	-0.018465411	55.93
RELA	-0.055962987	1.729376532	0.955005648	1.125967244	1.222643276	0.986155309	54.5
SUPT5H	0.590181029	1.242106117	-0.22034415	0.759719488	0.815340806	0.066470122	53.35
MIER1	0.002952414	1.483615532	0.400587289	1.678659766	1.130837712	0.654466463	52.99
KLF1	0.416146778	1.153616686	0.714410961	0.690701933	0.556416488	0.378754146	52.22
ATF2	-1.074692044	1.290443137	-0.421582042	0.68295541	0.243096926	0.056367074	51.4
RB1	0.719590647	1.713112227	0.284961097	2.142321189	1.504434551	0.665626018	51.37
YY1	-0.028569152	1.906890596	-1.321928095	2.169925001	0.807354922	1.584962501	51.32
CEBPD	-0.144389909	2.502500341	1.137503524	2.321928095	2.514573173	4.06608919	51.04
WHSC1	-0.402837046	0.736965594	-0.854802084	0.234465254	0.390789953	0.342232191	50.42
DIDO1	-0.020189047	1.826570115	0.420174061	1.912359943	1.319564531	0.994394495	48.82
SETDB1	0.322208961	0.332358868	-0.521355759	1.936747909	-0.058095736	-1.545101962	48.39
NCOA1	-0.053598047	1.483058483	1.031572886	1.345938845	1.039672958	0.490329815	47.84
ZNF639	-1.11812293	1.608656867	0.101063844	1.36774024	0.674859291	0.706192707	47.82
HLTF	0.134138754	1.41346607	-0.446179004	1.320129025	0.711116796	0.428240531	47.77
REST	-0.16695212	1.481694272	0.16155906	1.292064599	0.705510587	0.29758242	47.55
NFE2L1	-1.62198617	0.836009617	0.89130413	0.245926548	1.083179193	0.609337067	47.25
ZFX	-0.460901073	1.333333333	0.659538378	0.848268458	0.30474353	-0.508606537	45.26
SIN3A	-1.23021921	1.017331158	-0.997636858	0.652806965	-0.199492436	-1.250771186	44.77
SP1	1.448851465	1.09944275	-0.198444599	0.694004239	1.013495024	0.618959693	44.35
CREM	-0.434516774	1.628839647	-0.098875552	2.053663959	0.776282271	-0.24389065	43.81
ZKSCAN1	-1.030715149	1.11770325	-0.987824708	0.80856692	0.129893975	-1.733045069	43.21
SREBF1	-0.914968961	1.285157862	-1.516210739	0.962999709	-0.699848477	-1.669612459	42.3
LARP7	-0.306801751	1.401817145	-0.309216385	0.220013873	0.57121305	-0.112850725	42.02
ADNP	-1.058382872	1.41568843	0.099263422	0.727439124	-0.104046259	-0.730468656	41.99
ZBTB11	-0.62650377	1.776300018	0.192234734	1.602478826	0.489834827	0.459275446	40.88
MEF2D	-0.122365113	1.956939205	0.585482672	1.356685802	1.323982202	1.157260925	39.74
NR2C2	-1.180514188	1.095042726	0.349962959	1.342158924	0.241080625	-0.270476415	39.72
CBX5	0.612150828	0.944204758	0.685255765	1.662880046	0.289770671	-0.494245695	37.11
PBX2	-0.454728429	1.96188089	0.807437187	1.57563731	0.838238869	0.971864402	36.55
MAFF	-2.083416008	2.836501268	0	0.222392421	-0.637429921	-0.678071905	35.95
TRIM24	0.490861667	1.536231354	0.805857184	2.21785841	1.018472223	0.928243855	35.2
ZNF24	0.125093682	1.469523281	0.276972948	1.486193893	1.198268862	0.76458712	33.94
IRF2	-1.897946466	1.12740695	-1.12740695	0.678071905	-0.535194664	-1.77748388	33.19
FOXK2	-0.38653192	1.850694182	0.050850639	1.441105274	1.121432866	0.730871618	33.01
ZNF512	-1.019238419	0.857518066	-0.045518231	0.954102552	0.856029561	-0.431389446	32.08
ZNF263	-0.381562795	0.206450877	-1.184424571	1.584962501	-0.796466606	-1.874469118	31.8
BCOR	-0.256610351	1.619465168	-0.095608098	1.288542877	0.94245678	0.482188024	31.48
ZHX1	-1.421329245	0.120294234	-0.796466606	1.206450877	-0.647698256	-2.037474705	31.42
SIN3B	0.185597397	1.584732873	0.000157182	0.938412137	1.05979511	0.219935049	30.55
ZNF407	-0.499700655	1.629283017	-0.226858984	1.266664866	0.317734202	0.053457602	30.31
BRD4	-1.424866762	0.592212286	-0.453927643	1.0605077	-0.243969023	-1.432319054	30.18
ZBED1	-0.113166012	1.475308605	-0.20096147	1.497284365	0.632420631	-0.764400367	29.88
ELF4	-0.122535555	1.209888111	0.386068144	1.022168195	0.631476016	0.367296458	29.72
ZNF740	-0.163990674	1.113118389	0.805547128	0.984548121	1.341168528	0.950988541	29.27
SMAD5	0.200362059	1.312640148	-0.398338661	1.40895069	0.541071709	-0.468766112	28.89
NFYA	5.437405312	0	-1	1	-1.584962501	0	28.77
ZNF384	-1.741931847	2.137503524	-0.485426827	4.64385619	0.710493383	-0.263034406	28.4
NFIC	-0.156131155	1.387593132	-0.177415895	1.290637108	0.842733617	0.614428291	28.27
ARNT	-0.045184983	1.631300354	0.541744709	1.593118587	0.999258773	0.651205182	27.93
CTCF	-1.637016937	0.523476796	-1.519504107	1.75067519	0.053521976	-1.796621158	27.88
ESRRA	0.340963669	1.935151796	0.530209891	1.802555129	1.336037549	0.644741343	27.1
KDM4B	0.241418054	1.233952719	0.010032142	1.20510487	0.303078179	-0.754253921	27.02
ZBTB33	1.814476688	2.37569987	0.56807144	1.341125446	1.137859832	0.62451314	27
CDC5L	-0.184123506	1.296932415	-0.046892225	1.097460997	0.782527603	0.31614168	26.8
NFYB	6.073709686	-1.584962501	-1	1	-1.807354922	-2.169925001	26.71
ZKSCAN8	-1.113463758	1.096414762	-0.338532285	0.869110105	0.497650625	0.049895418	26.65
ATF1	-0.341831092	2.005552069	0.509240801	1.81550235	1.295619214	0.986343686	26.64
HCFC1	-1.38640569	1.338704375	-1.423998453	1.686277084	-0.75968708	-1.20751875	26.44
ZMYM3	-1.634715536	0.91753784	-0.392317423	1.08246216	-0.1740294	-0.856635825	26.42
RCOR1	-2.135972969	1.820773015	0.925211822	2.953445298	1.596322539	0.83279048	25.87
HDAC8	-0.295563037	1.185611272	0.260384158	1.122039455	0.933284613	0.557570631	25.73
TAL1	-0.634369424	1.764149354	1.107360122	2.818719672	1.644009561	1.509999827	24.52
CHD7	-0.30043714	1.041820176	-0.59400764	0.289506617	0.116644919	-0.282638964	23.82
RNF2	-0.618900338	1.455151783	0.15364762	1.383283832	0.965356386	0.460986503	23.77
DPF2	0.301929162	1.861561392	0.762983296	2.17206896	1.438995471	1.287781609	23.66
EP300	-1.834576391	2.321928095	1.765534746	3.874469118	1.832890014	1.366782331	22.91
MAFG	0.27050438	1.778448688	-0.068816959	0.945500423	0.252226928	0.654169718	22.69
CBX1	1.153858992	1.190358991	0.531453733	1.970804052	0.665269635	-0.60472562	22.29
ZC3H8	-0.464808054	1.590515796	0.060886996	1.468575155	1.127267074	0.403399041	21.64
GTF2E2	-1.08830052	1.192811385	-0.385687812	0.713866286	0.347628816	-0.183063949	21.55
PHF8	0.328436179	1.427805045	-0.4450807	1.634730337	0.443300837	-0.660162105	21.46
GABPA	-0.826043653	1.141342094	0.220236095	0.905182204	0.455571855	-0.193391267	21.23
CEBPG	-1.537701296	0.697431853	1.044364305	0.526725148	-0.399776105	-0.721262195	21.14
MAFK	-1.999642952	1.972062977	-1.08272922	0.603759375	-0.523353843	-1.620925158	21.03
HINFP	-0.884185719	1.098007976	0.549456804	1.13312406	1.112949834	1.068546542	20.9
E2F1	-0.636033304	1.113678973	0.059433279	0.912497535	0.490383631	0.089669849	20.79
C11orf30	0.629570495	1.854897207	-0.085591805	-0.047038259	-0.063157706	-0.238829223	20.23
ZNF143	-2.700439718	1.584962501	0.169925001	2.700439718	-0.093109404	-0.180572246	19.64
ZSCAN29	-0.337141137	1.292198891	0.396730488	1.451839168	1.143405291	0.84060456	19.64
ID3	0.604585521	1.568226514	0.470115903	1.660102539	1.430044732	1.499840552	19.46
ZNF766	-0.983768248	1.715225818	0.246513179	1.31098899	1.043125665	0.476681713	19.16
NRF1	0.137395472	1.511144867	0.331190192	1.498547032	0.71831232	0.207471398	19.08
PYGO2	-0.308222774	1.352571833	0.392512729	0.98036877	1.177449292	1.147889013	17.94
MNT	-0.645123159	1.582652054	-0.011218438	1.526566898	0.994023577	0.881761353	17.88
L3MBTL2	0.809288752	2.395503487	0.784967863	2.107587915	1.630462292	1.191780496	17.71
ZBTB40	0.350474465	1.983914944	0.278423214	2.233479906	1.155453848	0.893792386	17.58
ARID3A	-2.662965013	2.64385619	-1.584962501	4.247927513	0.736965594	1	17.19
MLLT1	0.012205381	1.591522037	-0.270465762	1.555449732	0.948242698	0.280714925	16.54
ZNF354B	-1.069972897	1.54708779	0.487232454	0.20751875	0.282126003	0.101545933	16.49
MITF	-0.75189988	1.553483463	-0.298667426	1.138002753	0.554657846	-0.827628449	16.07
TCF7	-0.490493218	1.612957391	0.006286342	1.317030133	0.347594955	-0.404299113	15.99
ELK1	-1.543760016	0.849162598	0.060504325	0.907801048	0.17952282	-0.29383622	15.94
ZNF175	-1.365001944	1.086699313	-0.171524391	1.174020185	0.567954769	0.304783336	15.66
TOE1	-0.281905778	2.214835086	0.228457702	1.52799927	0.939109126	0.485997123	15.59
NFXL1	-0.293552515	1.381147027	0.171861745	0.861654167	0.607074919	0.149074791	15.54
ZNF316	1.015653688	2.17377396	-0.701174592	0.034189911	-0.164766926	-0.144570182	15.52
MYNN	-0.688660715	1.402595363	-0.005291723	1.95084317	0.886392416	-0.450389841	14.98
ZNF589	-1.220831404	1.186281283	0.380138373	0.640490868	0.346668354	0.44265862	13.92
E2F5	-1.14820679	1.485071945	0.240185079	1.144704175	0.949502803	0.707616154	13.83
ZNF592	-0.364192123	1.716343259	0.262584045	1.504756648	1.298744763	1.445934263	13.66
DDX20	-0.490523248	1.497348404	0.410488101	1.149096586	0.922377782	0.891878597	13.4
ZNF197	-1.044986129	1.039662679	0.112344996	1.152906216	0.489793662	0.32697046	13.37
CREB3	-0.132662775	1.820668521	0.535359983	1.772350255	1.411225545	1.250359705	12.9
CHAMP1	1.084639873	0.898664604	0.18351749	1.155106418	0.672730175	0.546410721	12.6
HES1	-0.490101116	1.94937025	0.386364173	1.694349184	1.029623194	0.463115285	12.04
PKNOX1	0.633753286	2.511744639	0.544064424	1.926079803	0.781397027	0.502384027	11.94
SIRT6	-0.328421857	0.7589919	-0.489805268	0.437405312	0.133266531	-0.037152998	11.72
FOXM1	0.882820089	1.530619635	0.557636733	1.552729494	1.024085927	0.826366023	11.31
RBBP5	-0.72154833	1.509383177	-0.335280293	0.958421965	0.637642234	-0.434918278	10.95
NKRF	-0.370410363	1.401503239	-0.051406973	1.025605199	0.977542265	0.562325192	10.48
RAD51	-0.329963779	2.820037371	0.564138542	1.337491934	0.821884893	0.410644253	9.44
TBP	2.273018494	2.263034406	-1.321928095	3	1	0.263034406	9.43
ZBTB2	-0.11203023	1.686048102	-0.16244212	1.37850499	1.283866778	0.926086942	9.41
E2F6	1.934411658	2	-2	1.415037499	0.847996907	0.584962501	8.64
KLF16	-1.834868249	0.775014355	0.063003942	1.111196211	0.749434545	-0.473822297	8.33
ZNF318	-0.834162031	1.471626393	0.487429405	1.233282288	0.724912734	0.255032478	8.05
ZNF584	-0.909215643	1.382867387	0.135909204	0.734827408	0.253046553	0.608291546	7.89
FOXJ2	-1.591565147	0.859919371	0.065894936	0.760211124	-0.084198766	-0.807487535	7.84
FOSL1	-1.724090234	2.547798592	-0.332583005	1.272182324	0.653024207	0.470725551	7.43
E2F7	-0.559015003	0.995686981	-0.039974374	1.229043861	1.009031869	0.264694969	7.33
RBFOX2	1.294268604	1.246771505	-0.508451004	0.782319779	0.347935128	-0.087365113	6.85
ZBTB7A	-0.214655575	1.990176294	-0.42221522	1.66434908	1.005234694	-0.363307653	6.29
RFX1	-0.722392281	1.482042498	0.711860533	0.763517804	0.519552208	0.176031618	5.67
NR2F6	-2.24642539	1.134094234	1.099927722	1.109494895	0.161991358	-0.337428791	5.54
TEAD4	-1.161444786	2.040186708	1.286444834	4.472721918	2.020738318	1.849086556	3.18
TEAD2	-0.774897049	1.092969858	0.152367186	1.481441575	1.119598493	0.964876395	0.32
CREB3L1	0.5592072	1.62198015	0.172805145	1.841765756	0.996944985	0.477150521	0.27
ETV1	-0.1842212	1.605107785	0.549780576	1.516563595	1.181242347	0.848340327	0.16
NR2F2	-1.286910972	2.301442204	1.423998453	4.416445007	1.57927297	4.830889049	0.07
NR2F1	-0.720468185	1.873795303	1.119562215	2.353045477	0.986903834	0.901939464	0.04
