chr	start	end	peak	H3K27ac_K562_ctrl	H3K27ac_K562_all	H3K27ac_K562_sep	H3K9me3_K562_ctrl	H3K9me3_K562_all	H3K27ac_OCIAML3_ctrl	H3K27ac_OCIAML3_all	H3K27ac_OCIAML3_sep	H3K9me3_OCIAML3_ctrl	H3K9me3_OCIAML3_all	H3K9me3_OCIAML3_sep
chr1	166652546	166653546	dCas9_LTR2B_peak_18	-1.4283338	-2.0770955	-2.5156813	-0.59059393	0.44507247	-1.5585427	-1.8985466	-2.0208535	-2.5948186	-0.83522916	-0.94247234
chr1	167719573	167720573	dCas9_LTR2B_peak_19	-0.72789407	-0.78163964	-0.7994744	-0.19827649	0.9976135	-0.7220415	-1.3579782	-0.39636266	-1.5948185	-1.0576216	-0.8269951
chr1	167862915	167863915	dCas9_LTR2B_peak_20	1.4543092	-1.0129652	-0.7994744	-1.0056314	0.44507247	-1.459007	-1.4510876	-0.69892544	-1.5073557	-0.55512124	-1.5274348
chr1	169052062	169053062	dCas9_LTR2B_peak_21	-0.5703528	-1.214599	-1.1531115	-0.42066893	0.16267274	-1.2784349	-1.7730157	-0.96195984	-1.0098561	-1.0576216	-1.2055067
chr1	169687496	169688496	dCas9_LTR2B_peak_22	-1.7278941	-1.214599	-2.7380738	-1.1311623	-0.46181813	-2.7809353	-1.2705154	-1.2838879	-0.73683757	-0.3946566	-1.3575099
chr1	171600315	171601315	dCas9_LTR2B_peak_23	-1.340871	-1.0129652	-1.6225966	-1.0056314	0.5078082	-0.41170135	-1.3579782	-0.51835316	-1.2728904	-0.25026667	-0.8269951
chr1	171606279	171607279	dCas9_LTR2B_peak_24	-0.9689022	-1.4490643	-1.0751089	-0.5031311	0.5078082	-1.3658977	-1.1100508	-0.28388792	-1.2728904	-0.1831525	-0.8269951
chr1	171615349	171616349	dCas9_LTR2B_peak_25	-0.6734463	-1.6296365	-1.5156814	-0.8901542	0.5679292	-1.1179701	-2.3579783	-1.3578885	-1.4248935	-0.55512124	-0.94247234
chr1	174158986	174159986	dCas9_LTR2B_peak_26	2.2995868	3.1981826	3.748426	-1.2686658	-1.13989	1.8040273	1.6864158	1.9333428	-2.009856	-1.1190221	-1.5274348
chr1	182299647	182300647	dCas9_LTR2B_peak_27	2.372566	2.3026767	2.619478	-2.0056314	-1.2394258	1.6675254	1.1966106	1.9177458	-1.5073557	-1.320656	-1.2055067
chr1	185316941	185317941	dCas9_LTR2B_peak_28	2.0146098	2.6182911	3.3387418	-1.5905939	-1.4618181	2.4478836	2.4364376	2.7692235	-3.009856	-1.8352293	-2.5274348
chr1	196216681	196217681	dCas9_LTR2B_peak_29	-1.5214431	-1.0129652	-2.7380738	-0.5031311	-0.52321863	-1.2784349	-0.77301574	-1.0208535	-0.7874636	-0.43313074	-0.8269951
chr1	206052547	206053547	dCas9_LTR2B_peak_30	-1.1064056	-0.5823308	-0.93071896	-0.1311623	0.9976135	-0.41170135	-1.7730157	-1.5183531	-0.9509623	-0.3946566	-0.43997198
chr1	206057999	206058999	dCas9_LTR2B_peak_31	-0.7844776	-0.7291722	-1.0751089	-0.26866582	0.86011	-1.0439696	-2.5506234	-1.1463844	-0.68792796	-0.9987279	-0.5274348
chr1	206058416	206059416	dCas9_LTR2B_peak_32	-2.1064057	-1.0770955	-1.8636047	-1.0056314	0.62564474	-0.8423357	-2.5506234	-0.747835	-1.0712565	-0.78460306	-1.3575099
chr1	211693946	211694946	dCas9_LTR2B_peak_33	-1.1804063	-1.0770955	-1.7380738	0.9012592	0.47678134	-1.459007	-0.55062336	-1.2838879	-1.3468909	-0.1831525	-0.2795073
chr1	227589074	227590074	dCas9_LTR2B_peak_34	-0.34087095	-0.5823308	-2.1531112	0.8356708	0.97558725	-1.2784349	-1.0360502	-0.85092854	-1.0712565	0.40181	-0.7200799
chr1	229243993	229244993	dCas9_LTR2B_peak_35	-0.9689022	-1.6296365	-1.8636047	-0.26866582	0.6536591	-0.2784348	-1.6575385	-1.3578885	-0.6406222	-0.4726591	-0.43997198
chr1	247475803	247476803	dCas9_LTR2B_peak_36	-1.340871	-1.3666022	-1.4161458	-0.1311623	0.53818184	-1.459007	-0.65753853	-1.435891	-1.0098561	-0.05762161	-0.8269951
chr2	25233875	25234875	dCas9_LTR2B_peak_170	-0.4283338	-1.2885996	-1.8636047	-1.4206688	-1.3463409	-1.0439696	1.560885	2.543931	-1.6879278	-1.7356935	-1.7200798
chr2	27031812	27032812	dCas9_LTR2B_peak_171	1.4296472	1.9472888	2.6077008	-0.5031311	-0.8768556	0.7426268	0.47491172	1.3249214	-1.7874637	-1.8352293	-1.5274348
chr2	41039651	41040651	dCas9_LTR2B_peak_172	-2.4283338	-2.3666022	-3.7380738	-2.0056314	-1.4618181	-1.7809352	-3.0360503	-2.0208535	-1.5073557	-1.4726591	-0.5274348
chr2	48205888	48206888	dCas9_LTR2B_peak_173	0.7009492	-1.0129652	-1.7380738	-1.1311623	-0.046780612	-1.1179701	-1.4510876	-0.3204138	-2.2728903	-0.8876966	-1.2055067
chr2	51086122	51087122	dCas9_LTR2B_peak_174	-2.1064057	-2.7291722	-1.7380738	-1.1311623	-0.65446323	-1.7809352	-2.03605	-2.4358912	-1.5948185	-1.1831524	-0.5274348
chr2	55271253	55272253	dCas9_LTR2B_peak_175	-0.7844776	-1.4490643	-1.7380738	-1.2686658	0.97558725	-1.7809352	-1.7730157	-1.1463844	-1.2025012	-0.4726591	-1.7200798
chr2	89050918	89051918	dCas9_LTR2B_peak_176	-3.1064057	-2.5365272	-4.323036	-3.5905938	-1.2394258	-2.3658977	-3.357978	-2.4358912	-2.7874637	-2.320656	-3.5274346
chr2	105034687	105035687	dCas9_LTR2B_peak_177	-1.2584088	-1.9515647	-1.5156814	-0.26866582	-0.3463409	-1.665458	-1.6575385	-1.6058159	-1.5073557	-0.83522916	-0.94247234
chr2	112849674	112850674	dCas9_LTR2B_peak_178	-1.1064056	-2.3666022	-1.7380738	-0.783239	0.34553683	-1.3658977	-1.2705154	-1.1463844	-1.2728904	-0.8876966	-0.7200799
chr2	113851466	113852466	dCas9_LTR2B_peak_179	-1.1064056	-2.2145991	-1.7380738	-1.4206688	0.7861094	-0.7220415	-1.1100508	-0.96195984	-0.5073557	-0.5133011	-1.0680032
chr2	121755039	121756039	dCas9_LTR2B_peak_180	1.2010227	1.61322	1.9715843	-0.783239	-1.0467806	2.270727	1.6420218	1.8940297	-1.8943788	-1.8352293	-2.2055068
chr2	135117162	135118162	dCas9_LTR2B_peak_181	-0.25840878	-0.044674043	-0.3688401	-0.42066893	-1.13989	-0.2784348	-0.89854664	-0.39636266	-0.27289045	-0.8876966	-1.7200798
chr2	138536723	138537723	dCas9_LTR2B_peak_182	-0.4283338	-1.7291722	-1.2355735	0.16429359	-0.0023864962	-1.1179701	-2.1880531	-1.1463844	-0.9509623	-0.21631935	-1.2055067
chr2	142586281	142587281	dCas9_LTR2B_peak_183	-2.1064057	-2.7291722	-2.1531112	-2.5905938	-0.8768556	-1.3658977	-1.7730157	-1.1463844	-1.5948185	-0.83522916	-0.94247234
chr2	170212806	170213806	dCas9_LTR2B_peak_184	0.15662871	-0.78163964	-0.93071896	0.5386891	0.7345791	0.5409929	-0.65753853	1.5027084	-1.0712565	-1.0576216	-0.5274348
chr2	175167843	175168843	dCas9_LTR2B_peak_185	1.9467057	2.5509357	3.411673	-1.7832389	-1.7248526	2.0004246	2.2118773	2.6609704	-2.7874637	-1.9421444	-1.9424723
chr2	188040055	188041055	dCas9_LTR2B_peak_186	-3.4283338	-2.9515646	-2.0011082	-2.0056314	-0.52321863	-2.7809353	-1.5506234	-2.0208535	-1.7874637	-1.4726591	-0.94247234
chr2	190157710	190158710	dCas9_LTR2B_peak_187	-1.4283338	-1.0129652	-2.7380738	-2.5905938	0.2386216	-2.0439696	-1.2705154	-1.9053763	-1.0712565	-1.2502667	-0.8269951
chr2	237505968	237506968	dCas9_LTR2B_peak_188	-2.6209788	-1.9515647	-3.3230364	-1.2686658	-0.23942569	-1.906466	-1.8985466	-1.9053763	-2.2728903	-0.6425841	-1.2055067
chr3	4785165	4786165	dCas9_LTR2B_peak_219	-0.72789407	-0.32707375	-1.0011083	-0.5031311	1.1430439	-0.23661466	-1.0360502	-0.7984611	-1.0098561	-0.94214433	-1.7200798
chr3	11131723	11132723	dCas9_LTR2B_peak_220	-1.6209788	-1.6296365	-1.0751089	-2.0056314	0.53818184	-2.5585427	-2.3579783	-1.2838879	-1.6879278	-0.6425841	-0.35750985
chr3	36674612	36675612	dCas9_LTR2B_peak_221	-0.9689022	-1.7291722	-1.7380738	-1.2686658	0.5970756	-0.8423357	-1.4510876	-2.2838879	-0.839931	-0.28503212	-0.13511741
chr3	39004425	39005425	dCas9_LTR2B_peak_222	-0.47413746	-0.892671	-1.1531115	-0.26866582	0.5679292	-1.1959727	-1.6575385	-1.6058159	-1.5948185	-0.4726591	-0.94247234
chr3	74824892	74825892	dCas9_LTR2B_peak_223	-3.1064057	-2.9515646	-5.323036	-3.5905938	-1.2394258	-2.3658977	-2.03605	-2.4358912	-1.2728904	-1.1831524	-1.7200798
chr3	74830688	74831688	dCas9_LTR2B_peak_224	-4.4283338	-3.214599	-2.1531112	-1.2686658	-1.7248526	-0.7220415	-2.3579783	-2.0208535	-0.89437884	-1.1831524	-1.5274348
chr3	76042452	76043452	dCas9_LTR2B_peak_225	-2.6209788	-2.7291722	-2.3230364	-0.783239	-1.0467806	-1.665458	-1.2705154	-1.1463844	-0.89437884	-0.7356935	-2.5274348
chr3	78266492	78267492	dCas9_LTR2B_peak_226	-3.8433714	-1.9515647	-1.8636047	-1.1311623	-0.65446323	-0.906466	-2.03605	-1.9053763	-1.2728904	-0.28503212	-1.9424723
chr3	86091797	86092797	dCas9_LTR2B_peak_227	-2.4283338	-2.9515646	-2.3230364	-1.7832389	-0.79885316	-1.665458	-3.357978	-2.1463845	-1.4248935	-0.94214433	-0.62054425
chr3	93936629	93937629	dCas9_LTR2B_peak_228	-2.2584088	-1.7291722	-1.5156814	-1.5905939	0.040682223	-1.906466	-1.5506234	-3.0208535	-1.2025012	-0.8876966	-1.2055067
chr3	95356702	95357702	dCas9_LTR2B_peak_229	-3.8433714	-3.214599	-2.7380738	-1.0056314	-0.23942569	-1.2784349	-1.8985466	-2.0208535	-1.2025012	-0.6883878	-0.5274348
chr3	98642350	98643350	dCas9_LTR2B_peak_230	-2.2584088	-2.3666022	-2.7380738	-2.5905938	-0.23942569	-2.3658977	-1.2705154	-1.1463844	-1.5948185	-0.78460306	-0.43997198
chr3	101612535	101613535	dCas9_LTR2B_peak_231	-0.14293158	-1.2885996	-1.0751089	-1.4206688	0.47678134	-0.9735802	-2.1880531	-0.7984611	-1.6879278	-0.8876966	-0.8269951
chr3	104521874	104522874	dCas9_LTR2B_peak_232	-1.5214431	-2.7291722	-3.7380738	-1.0056314	-1.5873489	0.9560304	-0.4999973	-0.05122717	-1.5948185	-0.59819	-0.7200799
chr3	109393310	109394310	dCas9_LTR2B_peak_233	-2.1064057	-2.7291722	-2.0011082	-3.5905938	-0.3463409	-2.0439696	-3.773016	-2.7984612	-2.4248934	-0.7356935	-1.5274348
chr3	121548620	121549620	dCas9_LTR2B_peak_234	-1.4283338	-2.3666022	-1.7380738	-1.5905939	-0.8768556	1.7838495	1.4102061	1.4816469	-2.2728903	-0.35718188	-1.0680032
chr3	125596609	125597609	dCas9_LTR2B_peak_235	-0.9689022	-2.0770955	-1.6225966	-1.5905939	0.16267274	0.24881218	-0.55062336	0.8699174	-1.2728904	-0.55512124	-1.5274348
chr3	138596995	138597995	dCas9_LTR2B_peak_236	-1.4283338	-0.9515646	-2.0011082	-0.6837033	0.5970756	-1.0439696	-2.1880531	-1.0208535	-1.5948185	-1.1831524	-1.2055067
chr3	138597280	138598280	dCas9_LTR2B_peak_237	-1.6209788	-0.78163964	-2.0011082	-0.5031311	0.44507247	-1.1959727	-2.03605	-1.0208535	-1.2025012	-1.2502667	-1.2055067
chr3	139339073	139340073	dCas9_LTR2B_peak_238	1.7713386	1.3214539	1.6194781	-1.5905939	-1.5873489	0.093533956	-0.89854664	-1.435891	-2.2728903	-1.320656	-1.3575099
chr3	150546096	150547096	dCas9_LTR2B_peak_239	1.4045563	2.7114003	3.2953494	-2.0056314	-1.4618181	2.5228457	1.8804265	2.523467	-3.2728903	-2.1831524	-1.2055067
chr3	157578865	157579865	dCas9_LTR2B_peak_240	-2.2584088	-2.7291722	-2.0011082	-1.0056314	-0.23942569	-1.906466	-2.3579783	-1.9053763	-1.4248935	-0.94214433	-1.0680032
chr3	162708545	162709545	dCas9_LTR2B_peak_241	-1.9689021	-1.8360875	-2.7380738	-1.1311623	-0.40292445	-1.2784349	-1.4510876	-0.7984611	-0.839931	-1.0576216	-0.62054425
chr3	192091027	192092027	dCas9_LTR2B_peak_242	-2.2584088	-1.536527	-2.0011082	-1.0056314	0.0825024	-2.7809353	-2.7730157	-2.0208535	-1.0098561	-0.35718188	-0.8269951
chr3	198107526	198108526	dCas9_LTR2B_peak_243	1.3918452	1.3942102	1.816515	-0.1311623	-0.587349	-0.043969568	0.3969092	-0.3204138	-0.5504244	-0.7356935	-0.8269951
chr4	389665	390665	dCas9_LTR2B_peak_244	-3.1064057	-0.892671	-2.0011082	-0.59059393	-0.13989002	-0.8423357	-2.5506234	-1.6058159	-0.7874636	-0.21631935	-1.7200798
chr4	6003645	6004645	dCas9_LTR2B_peak_245	-1.8433713	-2.2145991	-2.5156813	-2.0056314	-1.13989	-0.906466	-2.5506234	-2.2838879	-0.89437884	-0.8876966	-0.7200799
chr4	6511425	6512425	dCas9_LTR2B_peak_246	-1.5214431	-3.5365272	-2.7380738	-1.2686658	-1.0467806	-3.0439694	-2.5506234	-4.0208535	-1.0712565	-1.2502667	-4.527435
chr4	22599179	22600179	dCas9_LTR2B_peak_247	-1.8433713	-3.9515646	-2.7380738	-1.5905939	-1.0467806	-1.906466	-2.1880531	-2.1463845	-2.135387	-0.55512124	-1.0680032
chr4	22604858	22605858	dCas9_LTR2B_peak_248	-1.8433713	-1.536527	-3.7380738	-1.7832389	-0.52321863	-1.906466	-1.3579782	-1.3578885	-2.135387	-0.8876966	-1.7200798
chr4	25372142	25373142	dCas9_LTR2B_peak_249	-1.1804063	-0.9515646	-1.8636047	-0.8901542	0.7081069	-0.2784348	-1.1100508	-1.0208535	-1.2728904	-0.55512124	-0.94247234
chr4	37551762	37552762	dCas9_LTR2B_peak_250	-2.1064057	-1.4490643	-1.6225966	-0.8901542	-0.587349	-2.0439696	-2.1880531	-1.435891	-1.0712565	-0.28503212	-0.94247234
chr4	40294620	40295620	dCas9_LTR2B_peak_251	-0.6734463	-0.077095516	-0.7380739	0.3162967	0.47678134	0.060367092	-0.110050775	0.27682704	0.16006896	1.537325	1.2004856
chr4	40295010	40296010	dCas9_LTR2B_peak_252	-0.9689022	-0.44906428	-0.7994744	0.40940607	0.31077138	0.060367092	-0.22869526	0.03804017	-0.20250112	1.1387756	0.5169593
chr4	68569667	68570667	dCas9_LTR2B_peak_253	-0.72789407	-1.6296365	-2.1531112	-1.2686658	-0.0023864962	-5.5179005	-5.5099816	-5.757819	-5.7468214	-5.794587	-4.6794376
chr4	69050542	69051542	dCas9_LTR2B_peak_254	-1.0360163	-1.7291722	-1.7380738	-0.6837033	-0.52321863	-2.1959727	-3.773016	-2.7984612	-1.4248935	-1.320656	-1.3575099
chr4	69050795	69051795	dCas9_LTR2B_peak_255	-0.72789407	-1.536527	-1.7380738	-0.5031311	-0.8768556	-2.3658977	-2.7730157	-2.4358912	-1.4248935	-1.1190221	-1.9424723
chr4	69056773	69057773	dCas9_LTR2B_peak_256	-1.340871	-1.214599	-1.7380738	-1.0056314	-0.587349	-3.780935	-3.357978	-1.7984611	-1.2728904	-1.320656	-1.7200798
chr4	87422021	87423021	dCas9_LTR2B_peak_257	1.7908347	2.3338375	2.9057825	-1.5905939	-1.4618181	2.133948	2.1014533	2.4165518	-2.2728903	-1.4726591	-1.2055067
chr4	91352813	91353813	dCas9_LTR2B_peak_258	-2.1064057	-2.3666022	-2.3230364	-1.2686658	-0.52321863	-1.665458	-2.1880531	-2.2838879	-0.9509623	-1.0576216	-0.62054425
chr4	91358516	91359516	dCas9_LTR2B_peak_259	-2.2584088	-2.0770955	-1.4161458	-0.6837033	0.2386216	-1.906466	-3.357978	-1.0208535	-1.2728904	-0.9987279	-1.3575099
chr4	93300296	93301296	dCas9_LTR2B_peak_260	-1.6209788	-2.5365272	-1.6225966	-0.6837033	-0.13989002	-2.3658977	-1.6575385	-1.2134986	-1.6879278	-1.1831524	-2.2055068
chr4	115950253	115951253	dCas9_LTR2B_peak_261	-2.6209788	-2.0770955	-2.5156813	-0.8901542	-0.092584305	-1.1959727	-3.357978	-0.90537626	-0.839931	-0.83522916	-1.2055067
chr4	115955996	115956996	dCas9_LTR2B_peak_262	-3.4283338	-2.0770955	-2.1531112	-1.2686658	0.37948415	-1.459007	-1.3579782	-0.96195984	-1.5948185	-1.320656	-1.0680032
chr4	128259896	128260896	dCas9_LTR2B_peak_263	-1.7278941	-1.3666022	-1.7380738	-1.0056314	-0.092584305	-1.459007	-2.3579783	-2.7984612	-1.2025012	-0.6425841	-1.2055067
chr4	128267071	128268071	dCas9_LTR2B_peak_264	-1.2584088	-1.8360875	-1.4161458	-0.42066893	0.5970756	-1.3658977	-1.7730157	-1.5183531	-1.135387	-0.94214433	-1.2055067
chr4	131547580	131548580	dCas9_LTR2B_peak_265	-1.6209788	-1.8360875	-1.0751089	-1.4206688	-0.79885316	-2.3658977	-3.773016	-2.0208535	-1.2025012	-0.4726591	-1.2055067
chr4	153129010	153130010	dCas9_LTR2B_peak_266	-2.6209788	-1.8360875	-1.8636047	-1.5905939	-2.7248526	-2.0439696	-2.03605	-1.5183531	-1.2025012	-2.0576215	-2.2055068
chr4	162850849	162851849	dCas9_LTR2B_peak_267	-1.2584088	-1.9515647	-1.6225966	-0.5031311	-0.092584305	-0.45900708	-2.5506234	-0.3578885	-0.89437884	-0.9987279	-2.2055068
chr4	164935422	164936422	dCas9_LTR2B_peak_268	-0.72789407	-1.6296365	-3.0011082	-2.5905938	-0.3463409	-2.1959727	-2.03605	-2.2838879	-1.8943788	-0.78460306	-0.13511741
chr4	185826764	185827764	dCas9_LTR2B_peak_269	-1.6209788	-1.3666022	-2.5156813	-0.8901542	-1.2394258	-1.1959727	-2.7730157	-2.4358912	-1.5948185	-1.2502667	-1.0680032
chr4	185827227	185828227	dCas9_LTR2B_peak_270	-1.4283338	-1.8360875	-1.8636047	-0.783239	-1.4618181	-1.5585427	-2.7730157	-2.2838879	-1.5073557	-0.94214433	-1.3575099
chr4	189880818	189881818	dCas9_LTR2B_peak_271	0.8004849	0.1358982	-0.27864227	1.4754952	1.6536591	0.02641976	-0.4510877	-0.39636266	0.5137059	0.16477081	-0.06800322
chr4	190015810	190016810	dCas9_LTR2B_peak_272	-1.6209788	-2.9515646	-1.8636047	-1.0056314	-0.79885316	0.093533956	-2.7730157	-1.9053763	-1.6879278	-0.6425841	-1.7200798
chr5	5087504	5088504	dCas9_LTR2B_peak_273	-1.1064056	-2.0770955	-1.7380738	-0.8901542	0.37948415	-2.1959727	-1.4510876	-1.2838879	-1.0098561	-0.6883878	0.057527665
chr5	10760975	10761975	dCas9_LTR2B_peak_274	1.6484817	2.8428512	3.2731535	-1.5905939	-1.2394258	2.5882986	2.8756413	3.541389	-2.135387	-1.5551213	-2.2055068
chr5	29239477	29240477	dCas9_LTR2B_peak_275	-1.1064056	-0.78163964	-1.8636047	-1.0056314	-0.0023864962	-1.0439696	-1.3579782	-2.605816	-1.5948185	-0.11902215	-0.35750985
chr5	42818948	42819948	dCas9_LTR2B_peak_276	-0.9689022	-1.0770955	-1.1531115	-0.005631413	0.27514747	-1.2784349	-0.40378198	-0.6516197	-1.135387	-0.32065603	-0.62054425
chr5	45205541	45206541	dCas9_LTR2B_peak_277	-1.7278941	-0.7291722	-1.1531115	-0.8901542	0.16267274	-1.906466	-1.6575385	-0.96195984	-1.135387	0.0012720784	-0.5274348
chr5	45205998	45206998	dCas9_LTR2B_peak_278	-1.8433713	-0.78163964	-0.93071896	-0.26866582	-0.2918931	-2.3658977	-1.7730157	-0.69892544	-1.2025012	-0.1831525	-0.62054425
chr5	57173455	57174455	dCas9_LTR2B_peak_279	1.5374504	2.4059875	3.2161224	-1.7832389	-2.2394257	2.576617	2.2930734	3.0630689	-3.2728903	-2.8352292	-4.527435
chr5	75473777	75474777	dCas9_LTR2B_peak_280	-0.9689022	-2.5365272	-2.3230364	-0.783239	0.34553683	-1.5585427	-1.8985466	-1.3578885	-2.009856	-0.9987279	-1.0680032
chr5	77758025	77759025	dCas9_LTR2B_peak_281	-0.38393965	-1.7291722	-1.6225966	-0.59059393	0.53818184	-1.0439696	-1.2705154	-1.2838879	-0.73683757	-0.08799526	-1.3575099
chr5	82266895	82267895	dCas9_LTR2B_peak_282	-2.1064057	-2.0770955	-2.1531112	-0.005631413	0.62564474	-1.3658977	-0.9656608	-1.5183531	-0.73683757	-0.35718188	-0.62054425
chr5	82272869	82273869	dCas9_LTR2B_peak_283	-0.6734463	-0.892671	-1.7380738	-1.1311623	0.62564474	-0.32150355	-0.35797828	-0.113962926	-0.9509623	-0.55512124	-0.8269951
chr5	82417238	82418238	dCas9_LTR2B_peak_284	1.2995867	-1.1442097	-0.8636048	-0.783239	0.7605743	1.9469854	1.0343392	2.0806844	-2.2728903	-1.3946565	-1.0680032
chr5	112531986	112532986	dCas9_LTR2B_peak_285	-1.1804063	-1.7291722	-1.3230364	-1.1311623	-0.23942569	-0.906466	-1.2705154	-0.69892544	-1.135387	-0.8876966	-1.0680032
chr5	133049287	133050287	dCas9_LTR2B_peak_286	0.96398365	0.2708278	-0.1531114	-1.0056314	0.6536591	-0.6654579	-0.60309076	-1.5183531	-0.5073557	-0.9987279	-1.5274348
chr5	138337800	138338800	dCas9_LTR2B_peak_287	2.1339085	2.9752254	3.7564485	-1.5905939	-2.7248526	3.0264196	2.6864157	3.070141	-2.135387	-2.1831524	-4.527435
chr5	139525760	139526760	dCas9_LTR2B_peak_288	-0.9689022	-1.536527	-1.6225966	-1.5905939	0.86011	-1.0439696	-2.3579783	-1.7984611	-1.2025012	-0.78460306	-1.5274348
chr5	139530947	139531947	dCas9_LTR2B_peak_289	-1.1064056	-1.2885996	-0.93071896	0.216761	0.6811398	-1.3658977	-1.8985466	-1.2838879	-0.3094163	-0.59819	-0.7200799
chr5	142236142	142237142	dCas9_LTR2B_peak_290	-1.4283338	-1.8360875	-1.7380738	-1.7832389	-0.23942569	-1.906466	-1.4510876	-2.7984612	-1.7874637	-0.8876966	-2.2055068
chr5	157464201	157465201	dCas9_LTR2B_peak_291	-1.1804063	-1.0129652	-1.0751089	-1.7832389	-0.0023864962	-0.41170135	-0.7141221	-0.69892544	-1.5948185	-0.94214433	-1.9424723
chr5	163312651	163313651	dCas9_LTR2B_peak_292	-1.8433713	-1.3666022	-1.7380738	-0.42066893	0.34553683	-1.3658977	-1.3579782	-2.0208535	-0.68792796	-0.5133011	-0.8269951
chr5	163318563	163319563	dCas9_LTR2B_peak_293	-2.1064057	-1.9515647	-1.3230364	-2.0056314	-0.092584305	-1.3658977	-1.7730157	-1.5183531	-1.0712565	-0.6883878	-0.7200799
chr5	179048155	179049155	dCas9_LTR2B_peak_294	-3.1064057	-2.2145991	-1.8636047	-2.5905938	-0.8768556	-1.7809352	-1.8985466	-2.1463845	-1.4248935	-1.0576216	-1.2055067
chr6	833901	834901	dCas9_LTR2B_peak_295	-1.7278941	-1.3666022	-2.0011082	-1.4206688	-0.7248525	0.937883	0.5727591	0.43857813	-0.102965444	-0.78460306	-1.9424723
chr6	14975811	14976811	dCas9_LTR2B_peak_296	-0.5703528	-1.3666022	-1.1531115	-0.06703196	0.90741575	0.7215652	0.68641585	0.751736	-0.89437884	-0.28503212	-0.7200799
