Probe	K562-dCAS9-1	K562-dCAS9-2	K562-dCas9-sep-1	K562-dCas9-sep-2	K562-dCas9-all-1	OCI-dCAS9-1	OCI-dCAS9-2	OCI-dCas9-sep-1	OCI-dCas9-sep-2	OCI-dCas9-all-1
RP1-120G22.11	10.0	3.0	11.0	14.0	16.0	45.0	64.0	30.0	16.0	29.0
RNF207	303.0	39.0	220.0	93.0	197.0	455.0	389.0	408.0	78.0	331.0
ICMT	1881.0	1141.0	1299.0	2201.0	1418.0	2157.0	4799.0	827.0	1198.0	1788.0
LINC00337	6.0	2.0	2.0	5.0	8.0	12.0	13.0	6.0	5.0	5.0
HES3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR153	7.0	7.0	20.0	20.0	8.0	75.0	121.0	81.0	58.0	70.0
ACOT7	381.0	489.0	493.0	1224.0	587.0	779.0	1806.0	237.0	485.0	587.0
RP1-202O8.3	2.0	0.0	3.0	6.0	5.0	5.0	10.0	2.0	4.0	0.0
HES2	3.0	2.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
ESPN	26.0	1.0	24.0	5.0	45.0	8.0	9.0	5.0	6.0	4.0
RP1-202O8.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLEKHG5	0.0	1.0	2.0	3.0	4.0	0.0	3.0	3.0	2.0	3.0
NOL9	1507.0	1053.0	1890.0	2413.0	2009.0	1503.0	3113.0	703.0	909.0	1187.0
TAS1R1	3.0	4.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
ZBTB48	697.0	290.0	392.0	524.0	525.0	540.0	738.0	255.0	165.0	295.0
KLHL21	1672.0	423.0	1490.0	849.0	1989.0	593.0	1861.0	293.0	327.0	340.0
PHF13	845.0	388.0	775.0	956.0	966.0	587.0	1079.0	489.0	366.0	487.0
THAP3	187.0	125.0	328.0	291.0	371.0	190.0	347.0	107.0	129.0	127.0
DNAJC11	1212.0	906.0	1157.0	2092.0	1260.0	1590.0	3400.0	776.0	702.0	1215.0
RP11-242F24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-312B8.1	8.0	4.0	2.0	6.0	6.0	2.0	1.0	2.0	1.0	0.0
CAMTA1	363.0	236.0	372.0	554.0	488.0	475.0	1028.0	344.0	312.0	377.0
RP11-334N17.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAMTA1-IT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP3-453P22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP4-549F15.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-338N10.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-338N10.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-338N10.3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VAMP3	797.0	499.0	774.0	1050.0	867.0	630.0	1135.0	499.0	412.0	597.0
RP3-467L1.6	5.0	2.0	7.0	7.0	15.0	6.0	12.0	2.0	2.0	5.0
PER3	694.0	406.0	797.0	1128.0	895.0	759.0	1546.0	522.0	481.0	615.0
RP3-467L1.4	6.0	1.0	11.0	7.0	9.0	13.0	19.0	6.0	8.0	12.0
UTS2	0.0	0.0	1.0	0.0	1.0	19.0	57.0	2.0	12.0	4.0
TNFRSF9	39.0	6.0	7.0	7.0	9.0	0.0	0.0	0.0	0.0	0.0
PARK7	3229.0	2258.0	2652.0	5468.0	2989.0	3921.0	7160.0	1833.0	2259.0	3149.0
ERRFI1	43.0	35.0	71.0	65.0	77.0	106.0	132.0	270.0	80.0	108.0
RP11-431K24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-431K24.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-431K24.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC45A1	0.0	0.0	0.0	0.0	0.0	23.0	16.0	19.0	8.0	13.0
RERE	1623.0	591.0	1554.0	1453.0	1658.0	754.0	1727.0	415.0	512.0	384.0
RP5-1115A15.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP4-633I8.4	1.0	0.0	5.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0
ENO1	30218.0	22898.0	37012.0	50147.0	46439.0	33181.0	81182.0	19284.0	17916.0	20900.0
ENO1-IT1	22.0	9.0	49.0	17.0	62.0	37.0	83.0	28.0	17.0	17.0
ENO1-AS1	8.0	2.0	0.0	5.0	2.0	5.0	3.0	0.0	0.0	2.0
CA6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
SLC2A7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC2A5	4.0	0.0	0.0	0.0	0.0	1407.0	1659.0	1576.0	705.0	1141.0
GPR157	5.0	0.0	7.0	3.0	1.0	217.0	256.0	165.0	144.0	178.0
RP3-510D11.1	0.0	0.0	0.0	0.0	0.0	7.0	10.0	6.0	0.0	6.0
RP3-510D11.2	0.0	0.0	0.0	0.0	0.0	20.0	11.0	14.0	0.0	13.0
H6PD	924.0	77.0	430.0	507.0	450.0	2524.0	2818.0	1427.0	1473.0	1491.0
SPSB1	1.0	1.0	0.0	2.0	1.0	4.0	7.0	4.0	2.0	3.0
RP13-392I16.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A33	477.0	305.0	346.0	645.0	418.0	341.0	648.0	134.0	208.0	240.0
TMEM201	763.0	433.0	647.0	982.0	719.0	969.0	1880.0	427.0	435.0	656.0
PIK3CD	1269.0	474.0	733.0	799.0	896.0	3579.0	6772.0	2114.0	1920.0	2597.0
PIK3CD-AS1	0.0	0.0	0.0	0.0	0.0	65.0	107.0	21.0	29.0	48.0
PIK3CD-AS2	331.0	83.0	160.0	168.0	188.0	8.0	18.0	14.0	11.0	10.0
CLSTN1	1631.0	557.0	969.0	1252.0	1114.0	2755.0	4657.0	1803.0	1722.0	2116.0
AL357140.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTNNBIP1	1104.0	300.0	754.0	866.0	830.0	297.0	586.0	176.0	184.0	166.0
RP11-84A14.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LZIC	736.0	394.0	773.0	946.0	832.0	554.0	1135.0	409.0	379.0	501.0
RP11-84A14.4	1.0	1.0	1.0	4.0	6.0	4.0	3.0	0.0	3.0	0.0
NMNAT1	399.0	140.0	199.0	311.0	215.0	261.0	413.0	155.0	139.0	181.0
RP11-807G9.2	22.0	6.0	11.0	30.0	13.0	19.0	31.0	13.0	11.0	8.0
RBP7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBE4B	2500.0	1085.0	2302.0	2728.0	2509.0	1720.0	3425.0	945.0	1018.0	1311.0
KIF1B	1437.0	951.0	2048.0	2048.0	2240.0	409.0	596.0	387.0	331.0	315.0
PGD	7034.0	3057.0	5931.0	7667.0	6854.0	2654.0	6553.0	904.0	1282.0	1214.0
RP4-736L20.3	2.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0
APITD1-CORT	158.0	93.0	99.0	221.0	104.0	252.0	530.0	90.0	160.0	190.0
APITD1	223.0	136.0	137.0	291.0	146.0	352.0	685.0	125.0	222.0	253.0
CORT	12.0	1.0	8.0	12.0	5.0	7.0	20.0	3.0	2.0	4.0
DFFA	1613.0	1292.0	1632.0	2944.0	1890.0	1322.0	2660.0	830.0	783.0	1022.0
RP5-1113E3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PEX14	560.0	335.0	578.0	729.0	719.0	442.0	880.0	242.0	207.0	288.0
CASZ1	36.0	9.0	24.0	26.0	30.0	302.0	389.0	197.0	181.0	263.0
RP4-734G22.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf127	0.0	0.0	0.0	0.0	0.0	20.0	12.0	6.0	0.0	9.0
TARDBP	3179.0	1543.0	2857.0	3921.0	3310.0	3687.0	8214.0	2015.0	2003.0	3261.0
MASP2	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0
RP4-635E18.8	57.0	2.0	38.0	7.0	38.0	59.0	42.0	24.0	5.0	27.0
SRM	1010.0	1545.0	1427.0	3772.0	1677.0	3167.0	7351.0	1402.0	1769.0	2269.0
EXOSC10	1897.0	934.0	1927.0	2229.0	2198.0	2396.0	4223.0	1274.0	1284.0	1948.0
RP4-635E18.7	5.0	2.0	3.0	2.0	2.0	1.0	4.0	0.0	0.0	2.0
RP4-635E18.6	7.0	0.0	0.0	2.0	1.0	10.0	6.0	1.0	7.0	5.0
MTOR	3043.0	1579.0	2984.0	4052.0	3269.0	2845.0	5205.0	1344.0	1543.0	2224.0
MTOR-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANGPTL7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBIAD1	480.0	277.0	453.0	677.0	503.0	731.0	1404.0	252.0	384.0	503.0
PTCHD2	0.0	0.0	0.0	0.0	0.0	4.0	13.0	0.0	0.0	5.0
RP1-69M21.2	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO2	34.0	14.0	15.0	16.0	23.0	1.0	3.0	3.0	0.0	1.0
FBXO44	376.0	78.0	258.0	168.0	323.0	182.0	134.0	192.0	73.0	130.0
FBXO6	451.0	192.0	359.0	460.0	482.0	90.0	231.0	69.0	86.0	95.0
MAD2L2	1670.0	797.0	1127.0	1922.0	1298.0	830.0	1726.0	409.0	539.0	581.0
DRAXIN	1.0	0.0	2.0	0.0	0.0	7.0	3.0	3.0	4.0	4.0
AGTRAP	1242.0	466.0	534.0	1073.0	601.0	1408.0	1924.0	779.0	663.0	970.0
C1orf167	17.0	13.0	32.0	19.0	33.0	0.0	0.0	0.0	0.0	0.0
RP11-56N19.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MTHFR	4681.0	1619.0	4550.0	4600.0	4915.0	539.0	816.0	302.0	203.0	346.0
CLCN6	687.0	190.0	723.0	605.0	930.0	396.0	615.0	268.0	154.0	271.0
NPPA-AS1	56.0	12.0	56.0	38.0	59.0	9.0	49.0	10.0	7.0	9.0
NPPA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NPPB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KIAA2013	960.0	428.0	700.0	818.0	903.0	1019.0	2075.0	708.0	593.0	771.0
