	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CORO1A	208.587841508527	-1.31964150595548	0.272894234098326	-4.83572513107772	1.32661133250329e-06	0.000665123615114704
FYB	345.535697667429	-1.36803038508459	0.250856547538844	-5.4534370280798	4.94054468566671e-08	3.04000697317592e-05
AC079466.1	2137.89695199356	-1.41538755902743	0.26555509015696	-5.32992065108167	9.82556865584492e-08	5.78298795192055e-05
ZNF44	86.1781002669936	-1.43121714703738	0.273939363363222	-5.22457645175914	1.74554197143764e-07	9.84558402806308e-05
RPS23	9788.98241857319	-1.43327967629534	0.180655591998665	-7.93376867241359	2.12593922304916e-15	2.05563137588689e-12
ACAP1	80.3658093024246	-1.49627844141206	0.265924976295238	-5.62669389787159	1.83696278873843e-08	1.1841412033882e-05
ZNF586	80.8298006532713	-1.5095216932095	0.256443137714798	-5.88637975132058	3.94746723646663e-09	2.67184319900244e-06
TNS4	24.4168681117481	-1.52179156935467	0.253875778324311	-5.99423694296141	2.04443107163684e-09	1.45660333772357e-06
PAQR8	279.614593300152	-1.68336384614919	0.274182617583567	-6.13957172407591	8.27442580384381e-10	6.22282789481298e-07
FAM49A	248.694604528687	-1.85225357250423	0.252866451673348	-7.32502694701851	2.38850714729237e-13	2.15554808352646e-10
IL12RB2	30.2862379522873	-1.92585172178856	0.272576694064983	-7.06535725071723	1.60203298945127e-12	1.27568944577658e-09
RP11-717F1.1	202.76106237838	-1.97989732230907	0.274402273951588	-7.21530945715988	5.38114612580878e-13	4.55278594406709e-10
APOL1	233.423675949073	-2.19645448222777	0.274406999847175	-8.00436753964381	1.2008223541884e-15	1.25042555451141e-12
IL23R	390.366800201715	-2.42689653930205	0.257388248881516	-9.42893294409578	4.14281897372749e-21	5.09830367703173e-18
ZNF611	181.672303473176	-2.95373004797821	0.270635120952373	-10.914067758774	9.87370676006837e-28	1.48511520456717e-24
LRCH2	101.835606798963	-3.0788466930227	0.274124008163308	-11.2315835218216	2.85318663549199e-29	4.82794843558189e-26
RP11-514O12.4	140.871331617578	-3.16047171386926	0.267004716264483	-11.8367636275707	2.51990340074771e-32	4.87313319084596e-29
APOE	1557.94123693536	-3.46352958570648	0.208759348202765	-16.5910155187034	8.09401290134906e-62	5.47843263227811e-58
RNASET2	346.043124508705	-3.52069169918972	0.249737660633856	-14.0975601767627	3.93127863733522e-45	1.33044297284017e-41
SEPP1	124.515030690509	-3.55914378782995	0.266343532717526	-13.3629818284518	9.94971297031338e-41	2.2448210746522e-37
CTB-129P6.7	109.312457744124	-3.58372854758865	0.263531302794878	-13.5988723524737	4.06654930069388e-42	1.10097755766986e-38
ZNF320	172.184821812706	-3.82501035849661	0.261677910574848	-14.6172458733483	2.18043823969371e-48	9.83886415024456e-45
APOC1	1174.33552492467	-5.0478041006655	0.242491349294394	-20.8164295978133	3.0724332482731e-96	4.15915288818729e-92
